hospitalid,n,obs_rate,exp_rate,ratio
405,281,0.099644128113879,0.102424217401885,0.972857109787837
164,113,0.176991150442478,0.0878476669288585,2.01475072281442
397,204,0.0931372549019608,0.103087126243676,0.903480951460463
69,364,0.148351648351648,0.111207741595651,1.3340046854926
59,413,0.145278450363196,0.095147500573128,1.5268761605728
254,325,0.08,0.0978453114351352,0.817617102205603
429,238,0.130252100840336,0.112197597583642,1.16091702180374
428,120,0.0916666666666667,0.117370822612549,0.781000461837656
95,229,0.192139737991266,0.10809868212704,1.77744755264879
68,347,0.141210374639769,0.0957439955744991,1.47487446907198
61,144,0.180555555555556,0.10188157661433,1.77221006540803
138,153,0.0718954248366013,0.0615495090761517,1.16809095500094
133,197,0.0659898477157361,0.093406206989356,0.70648246880698
404,368,0.133152173913043,0.106449851416549,1.25084415000267
398,288,0.21875,0.0987906174894635,2.21427910422091
393,118,0.0508474576271187,0.0584698068817922,0.869636147933864
419,430,0.0697674418604651,0.132446283060969,0.526760285363004
423,133,0.135338345864662,0.1287691380786,1.05101538989918
424,355,0.154929577464789,0.112264051178315,1.38004620213381
425,185,0,0.0855617057091191,0
58,203,0.16256157635468,0.0823340488162151,1.97441494365894
399,174,0.14367816091954,0.117807234513663,1.21960388521705
421,523,0.00956022944550669,0.102303886956007,0.0934493275863294
