pmid,ref,pmc,doi_src,authors,n_authors,title,journal,year,volume,issue,pages,doi
30953487,38,PMC6451228,,"Colombet I, Bouleuc C, Piolot A, Vilfaillot A, Jaulmes H, Voisin-Saltiel S, Goldwasser F, Vinant P, EFIQUAVIE study group",9,"Multicentre analysis of intensity of care at the end-of-life in patients with advanced cancer, combining health administrative data with hospital records: variations in practice call for routine quality evaluation",BMC Palliat Care,2019,18,1,35,10.1186/s12904-019-0419-4
31270850,39,,10.1002/sim.8281,"Austin PC, Steyerberg EW",2,The Integrated Calibration Index (ICI) and related metrics for quantifying the calibration of logistic regression models,Stat Med,2019,38,21,4051-4065,10.1002/sim.8281
32548928,40,,,"Austin PC, Harrell FE Jr, van Klaveren D",3,Graphical calibration curves and the integrated calibration index (ICI) for survival models,Stat Med,2020,39,21,2714-2742,10.1002/sim.8570
15568194,41,,10.1002/sim.1970,Spiegelhalter DJ,1,Funnel plots for comparing institutional performance,Stat Med,2005,24,8,1185-202,10.1002/sim.1970
28543517,42,,10.1002/sim.7336,"Austin PC, Merlo J",2,Intermediate and advanced topics in multilevel logistic regression analysis,Stat Med,2017,36,20,3257-3277,10.1002/sim.7336
16537344,43,PMC2566165,,"Merlo J, Chaix B, Ohlsson H, Beckman A, Johnell K, Hjerpe P, Råstam L, Larsen K",8,A brief conceptual tutorial of multilevel analysis in social epidemiology: using measures of clustering in multilevel logistic regression to investigate contextual phenomena,J Epidemiol Community Health,2006,60,4,290-7,10.1136/jech.2004.029454
25560714,44,,,"Collins GS, Reitsma JB, Altman DG, Moons KG",4,Transparent Reporting of a multivariable prediction model for Individual Prognosis or Diagnosis (TRIPOD): the TRIPOD statement,Ann Intern Med,2015,162,1,55-63,10.7326/M14-0697
38626948,45,,,"Collins GS, Moons KGM, Dhiman P, Riley RD, Beam AL, Van Calster B, Ghassemi M, Liu X, Reitsma JB, van Smeden M, Boulesteix AL, Camaradou JC, Celi LA, Denaxas S, Denniston AK, Glocker B, Golub RM, Harvey H, Heinze G, Hoffman MM, Kengne AP, Lam E, Lee N, Loder EW, Maier-Hein L, Mateen BA, McCradden MD, Oakden-Rayner L, Ordish J, Parnell R, Rose S, Singh K, Wynants L, Logullo P",34,TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods,BMJ,2024,385,"",e078378,10.1136/bmj-2023-078378
,46,,,,,,,,,,,
,47,,,,,,,,,,,
33553306,48,PMC7859733,,"Gao S, Wang Y, Yang L, Wang Z, Huang W",5,Characteristics and clinical subtypes of cancer patients in the intensive care unit: a retrospective observational study for two large databases,Ann Transl Med,2021,9,1,13,10.21037/atm-20-4634
30679148,49,PMC6365875,,"Essay P, Shahin TB, Balkan B, Mosier J, Subbian V",5,The Connected Intensive Care Unit Patient: Exploratory Analyses and Cohort Discovery From a Critical Care Telemedicine Database,JMIR Med Inform,2019,7,1,e13006,10.2196/13006
34125038,50,PMC8203022,,"Russell E, Hall AK, McKaigney C, Goldie C, Harle I, Sivilotti MLA",6,Code Status Documentation Availability and Accuracy Among Emergency Patients with End-stage Disease,West J Emerg Med,2021,22,3,628-635,10.5811/westjem.2020.12.46801
,51,,,,,,,,,,,
,52,,10.1097/jhq.0000000000000428~using-the-electronic-medical-record-to-address-code-status,,,,,,,,,10.1097/jhq.0000000000000428~using-the-electronic-medical-record-to-address-code-status
31609772,53,,,"Ma J, Chi S, Buettner B, Pollard K, Muir M, Kolekar C, Al-Hammadi N, Chen L, Kollef M, Dans M",10,Early Palliative Care Consultation in the Medical ICU: A Cluster Randomized Crossover Trial,Crit Care Med,2019,47,12,1707-1715,10.1097/CCM.0000000000004016
,54,,,,,,,,,,,
24603677,55,,,"Hsu-Kim C, Friedman T, Gracely E, Gasperino J",4,Integrating Palliative Care into Critical Care: A Quality Improvement Study,J Intensive Care Med,2015,30,6,358-64,10.1177/0885066614523923
26238958,56,,10.1002/sim.6607,"Austin PC, Stuart EA",2,Moving towards best practice when using inverse probability of treatment weighting (IPTW) using the propensity score to estimate causal treatment effects in observational studies,Stat Med,2015,34,28,3661-79,10.1002/sim.6607
