hospitalid,n,lim_rate,smr,cancer_pct
180,351,0.0712250712250712,0.480771749471553,0.0142450142450142
188,2917,0.108673294480631,0.540946127764077,0.015083990401097
197,1499,0.0560373582388259,0.790698670541949,0.0206804536357572
199,1941,0.119526017516744,0.894448046516,0.0360638845955693
206,772,0.0686528497409326,0.972706279874534,0.0259067357512953
202,767,0.0860495436766623,0.820250831134631,0.0221642764015645
200,342,0.181286549707602,0.871407453771536,0.0380116959064327
208,2561,0.110894181960172,0.929994084008771,0.0413900819992191
207,204,0.127450980392157,1.11570100439754,0.0490196078431373
210,483,0.126293995859213,0.795015388108175,0.0434782608695652
217,955,0.0764397905759162,0.889051834761394,0.0418848167539267
226,763,0.0996068152031455,1.04451192052222,0.0589777195281782
227,1109,0.0748422001803427,0.946031598663428,0.0315599639314698
244,1053,0.15289648622982,0.795676000647441,0.0845204178537512
243,2537,0.0906582577847852,0.836325762617157,0.0315333070555775
245,566,0.15017667844523,0.478235487542855,0.0229681978798587
248,1499,0.116077384923282,0.778172944958747,0.0360240160106738
253,408,0.105392156862745,1.1286363218427,0.0367647058823529
251,279,0.204301075268817,0.633344452135343,0.025089605734767
252,2727,0.100843417675101,1.01171038869165,0.048038137147048
264,4347,0.11709224752703,0.791549225969329,0.0156429721647113
256,564,0.0833333333333333,0.534183522967525,0.0283687943262411
259,503,0.0775347912524851,0.870765725845481,0.0218687872763419
281,2044,0.0949119373776908,0.540088398372442,0.0313111545988258
272,991,0.114026236125126,0.660495624879752,0.0272452068617558
277,1285,0.106614785992218,0.401174538296194,0.0256809338521401
275,529,0.0850661625708885,0.572132025113119,0.0359168241965974
279,657,0.193302891933029,0.624391731477934,0.0289193302891933
269,632,0.145569620253165,0.614453257756613,0.0522151898734177
318,973,0.092497430626927,1.08426707131672,0.00719424460431655
307,1557,0.109184328837508,0.662962700507667,0.0340398201669878
312,562,0.115658362989324,0.956893629401149,0.00889679715302491
310,517,0.0947775628626692,0.418225759880006,0.0290135396518375
338,3439,0.0994475138121547,0.655596973472974,0.0282058738005234
331,1053,0.0930674264007597,0.541515472691012,0.0256410256410256
336,836,0.110047846889952,0.659676354034251,0.0155502392344498
328,205,0.11219512195122,0.514371707767243,0.024390243902439
365,1241,0.0862207896857373,0.352008565393347,0.0282030620467365
353,575,0.172173913043478,0.797358243501576,0.0365217391304348
390,895,0.0692737430167598,1.07342533079989,0.0290502793296089
394,1737,0.0869314910765688,0.724032361239724,0.0189982728842832
384,808,0.143564356435644,1.07437914991236,0.0272277227722772
387,477,0.0964360587002096,0.839243768141051,0.0440251572327044
407,268,0.0634328358208955,0.848629717472733,0.0111940298507463
386,406,0.0985221674876847,0.937942190036803,0.0172413793103448
388,833,0.104441776710684,0.916469182829248,0.0384153661464586
396,542,0.0479704797047971,0.715373649662856,0.022140221402214
411,576,0.0763888888888889,1.06775973518108,0.137152777777778
413,1392,0.0366379310344828,0.708005966868012,0.0581896551724138
417,1629,0.0687538367096378,1.0809920618924,0.0534069981583794
416,1610,0.0664596273291925,0.705164103145688,0.0590062111801242
420,3442,0.106333527019175,0.817480841742707,0.0107495642068565
436,275,0.185454545454545,0.711053427060672,0.0363636363636364
444,1213,0.0692497938994229,0.841167541269467,0.023083264633141
458,3112,0.0729434447300771,0.893975039217185,0.0131748071979434
364,258,0.178294573643411,0.547210149214473,0.0542635658914729
439,284,0.151408450704225,1.0272602355179,0.0563380281690141
282,778,0.110539845758355,0.678016612270625,0.0282776349614396
92,509,0.19056974459725,0.635380867463043,0.0412573673870334
108,313,0.274760383386582,0.762936923080499,0.0287539936102236
203,104,0.144230769230769,1.23444088843326,0
357,638,0.117554858934169,0.770909420596153,0.0313479623824451
403,819,0.0744810744810745,1.12334783112085,0.0195360195360195
392,556,0.118705035971223,1.11461377367466,0.0449640287769784
402,375,0.248,0.735070523720615,0.0266666666666667
422,240,0.141666666666667,0.732632953017138,0.00416666666666667
452,711,0.160337552742616,0.905974965579812,0.0337552742616034
459,532,0.12781954887218,0.660640421529372,0.056390977443609
381,201,0.203980099502488,0.563514477667751,0.0298507462686567
67,280,0.114285714285714,0.554333709171403,0.0607142857142857
123,110,0.172727272727273,1.16830312753036,0.0272727272727273
196,319,0.0846394984326019,0.698154583109069,0.0313479623824451
198,535,0.0280373831775701,0.576483909803875,0.0560747663551402
195,1012,0.0197628458498024,0.600812029967788,0.0296442687747036
204,127,0.173228346456693,0.428504666186538,0.0078740157480315
220,654,0.0764525993883792,0.804197264543421,0.0244648318042813
258,293,0.143344709897611,0.608009037392532,0.0136518771331058
273,129,0.162790697674419,0.869052640716599,0.0465116279069768
280,899,0.0600667408231368,0.461915062296904,0.0166852057842047
303,130,0.0384615384615385,0.446680150634698,0.0153846153846154
360,202,0.0891089108910891,1.43752913856759,0.0247524752475248
389,409,0.0929095354523227,0.789648859166172,0.019559902200489
435,1238,0.0395799676898223,0.684646231762458,0.0121163166397415
434,311,0.106109324758842,0.821824615188007,0.0353697749196142
445,283,0.201413427561837,0.903921650405591,0.0247349823321555
224,446,0.100896860986547,0.79177322535804,0.0269058295964126
71,439,0.127562642369021,0.645634975331227,0.0387243735763098
438,149,0.167785234899329,0.708178344218947,0.0805369127516778
60,235,0.2,0.461420215409835,0.00851063829787234
249,336,0.217261904761905,0.922517824711242,0.0625
262,156,0.108974358974359,0.771198830422011,0.00641025641025641
266,191,0.0523560209424084,0.737736545632073,0.0261780104712042
267,191,0.0785340314136126,0.112733586633696,0.0104712041884817
408,170,0.170588235294118,0.641675902077469,0.0470588235294118
125,202,0.123762376237624,0.504875642121989,0.0099009900990099
383,419,0.0739856801909308,0.848531939363307,0.0238663484486874
250,203,0.221674876847291,0.629019944613672,0.00985221674876847
154,780,0.134615384615385,0.679317526961653,0.0461538461538462
358,284,0.169014084507042,0.661095520797893,0.0211267605633803
194,297,0.0404040404040404,0.666185714660346,0.0134680134680135
301,899,0.0645161290322581,0.843141320447987,0.0122358175750834
412,192,0.15625,0.714324169775097,0.104166666666667
56,191,0.246073298429319,0.727698235286333,0.031413612565445
405,281,0.099644128113879,0.510344444309042,0.0142348754448399
164,113,0.176991150442478,1.50573607483472,0
397,204,0.0931372549019608,1.01102135569424,0.0343137254901961
69,364,0.148351648351648,0.523458908058038,0.0302197802197802
59,413,0.145278450363196,0.41359122855236,0.0217917675544794
254,325,0.08,0.838376688288672,0.0369230769230769
429,238,0.130252100840336,0.619865400949769,0.0126050420168067
428,120,0.0916666666666667,0.513790347886779,0
95,229,0.192139737991266,0.399250772190594,0.0349344978165939
68,347,0.141210374639769,0.407213368949689,0.0403458213256484
61,144,0.180555555555556,0.572060717821126,0.0208333333333333
138,153,0.0718954248366013,0.160874197422143,0.0326797385620915
133,197,0.0659898477157361,0.30917475348595,0.0101522842639594
404,368,0.133152173913043,0.634899966033161,0.0326086956521739
398,288,0.21875,1.26150559195611,0.0138888888888889
393,118,0.0508474576271187,0.181357820571137,0.00847457627118644
419,430,0.0697674418604651,0.526489042596454,0.00930232558139535
423,133,0.135338345864662,0.986700808668343,0
424,355,0.154929577464789,0.452798252605709,0.0028169014084507
425,185,0,0.699003395933314,0.0108108108108108
58,203,0.16256157635468,0.626524529691228,0.0492610837438424
399,174,0.14367816091954,0.714681594086374,0.0402298850574713
421,523,0.00956022944550669,1.55661599748518,0.0248565965583174
